entity_id,state,last_changed
sensor.ral1ch8035_grid_power,2130.60009765625,2026-04-08T10:59:55.454Z
sensor.ral1ch8035_grid_power,2125.80004882812,2026-04-08T11:00:05.439Z
sensor.ral1ch8035_grid_power,2135.5,2026-04-08T11:00:15.460Z
sensor.ral1ch8035_grid_power,2130.0,2026-04-08T11:00:25.461Z
sensor.ral1ch8035_grid_power,1903.40002441406,2026-04-08T11:00:35.456Z
sensor.ral1ch8035_grid_power,338.600006103516,2026-04-08T11:00:45.453Z
sensor.ral1ch8035_grid_power,3.0,2026-04-08T11:00:55.458Z
sensor.ral1ch8035_grid_power,888.0,2026-04-08T11:01:05.463Z
sensor.ral1ch8035_grid_power,1071.09997558594,2026-04-08T11:01:15.446Z
sensor.ral1ch8035_grid_power,996.900024414062,2026-04-08T11:01:25.447Z
sensor.ral1ch8035_grid_power,1033.20007324219,2026-04-08T11:01:35.476Z
sensor.ral1ch8035_grid_power,1332.80004882812,2026-04-08T11:01:45.458Z
sensor.ral1ch8035_grid_power,1333.80004882812,2026-04-08T11:01:55.473Z
sensor.ral1ch8035_grid_power,1232.80004882812,2026-04-08T11:02:05.468Z
sensor.ral1ch8035_grid_power,1229.0,2026-04-08T11:02:15.468Z
sensor.ral1ch8035_grid_power,1230.5,2026-04-08T11:02:25.475Z
sensor.ral1ch8035_grid_power,1193.20007324219,2026-04-08T11:02:35.501Z
sensor.ral1ch8035_grid_power,1197.40002441406,2026-04-08T11:02:45.481Z
sensor.ral1ch8035_grid_power,1197.80004882812,2026-04-08T11:02:55.474Z
sensor.ral1ch8035_grid_power,1193.09997558594,2026-04-08T11:03:05.469Z
sensor.ral1ch8035_grid_power,1195.70007324219,2026-04-08T11:03:15.508Z
sensor.ral1ch8035_grid_power,1195.5,2026-04-08T11:03:25.471Z
sensor.ral1ch8035_grid_power,1222.90002441406,2026-04-08T11:03:35.473Z
sensor.ral1ch8035_grid_power,1224.90002441406,2026-04-08T11:03:45.477Z
sensor.ral1ch8035_grid_power,1225.0,2026-04-08T11:03:55.493Z
sensor.ral1ch8035_grid_power,1343.40002441406,2026-04-08T11:04:05.470Z
sensor.ral1ch8035_grid_power,1347.5,2026-04-08T11:04:15.486Z
sensor.ral1ch8035_grid_power,1309.20007324219,2026-04-08T11:04:35.504Z
sensor.ral1ch8035_grid_power,1311.40002441406,2026-04-08T11:04:45.486Z
sensor.ral1ch8035_grid_power,1312.40002441406,2026-04-08T11:04:55.484Z
sensor.ral1ch8035_grid_power,1309.09997558594,2026-04-08T11:05:05.473Z
sensor.ral1ch8035_grid_power,1311.40002441406,2026-04-08T11:05:15.473Z
sensor.ral1ch8035_grid_power,1306.90002441406,2026-04-08T11:05:25.499Z
sensor.ral1ch8035_grid_power,1109.90002441406,2026-04-08T11:05:35.519Z
sensor.ral1ch8035_grid_power,1114.09997558594,2026-04-08T11:05:45.507Z
sensor.ral1ch8035_grid_power,1107.0,2026-04-08T11:05:55.495Z
sensor.ral1ch8035_grid_power,1104.59997558594,2026-04-08T11:06:05.518Z
sensor.ral1ch8035_grid_power,1105.30004882812,2026-04-08T11:06:25.501Z
sensor.ral1ch8035_grid_power,1112.20007324219,2026-04-08T11:06:35.517Z
sensor.ral1ch8035_grid_power,1112.59997558594,2026-04-08T11:06:45.497Z
sensor.ral1ch8035_grid_power,1114.80004882812,2026-04-08T11:06:55.495Z
sensor.ral1ch8035_grid_power,1113.40002441406,2026-04-08T11:07:05.486Z
sensor.ral1ch8035_grid_power,1116.5,2026-04-08T11:07:15.521Z
sensor.ral1ch8035_grid_power,1118.70007324219,2026-04-08T11:07:25.507Z
sensor.ral1ch8035_grid_power,1082.0,2026-04-08T11:07:35.518Z
sensor.ral1ch8035_grid_power,1081.59997558594,2026-04-08T11:07:45.535Z
sensor.ral1ch8035_grid_power,1079.30004882812,2026-04-08T11:07:55.525Z
sensor.ral1ch8035_grid_power,1155.70007324219,2026-04-08T11:08:05.504Z
sensor.ral1ch8035_grid_power,1159.30004882812,2026-04-08T11:08:15.494Z
sensor.ral1ch8035_grid_power,1158.90002441406,2026-04-08T11:08:25.492Z
sensor.ral1ch8035_grid_power,1159.90002441406,2026-04-08T11:08:35.524Z
sensor.ral1ch8035_grid_power,1161.30004882812,2026-04-08T11:08:55.510Z
sensor.ral1ch8035_grid_power,1086.40002441406,2026-04-08T11:09:05.531Z
sensor.ral1ch8035_grid_power,1090.59997558594,2026-04-08T11:09:15.489Z
sensor.ral1ch8035_grid_power,1092.80004882812,2026-04-08T11:09:25.530Z
sensor.ral1ch8035_grid_power,1053.20007324219,2026-04-08T11:09:35.505Z
sensor.ral1ch8035_grid_power,1056.70007324219,2026-04-08T11:09:45.497Z
sensor.ral1ch8035_grid_power,1058.90002441406,2026-04-08T11:09:55.519Z
sensor.ral1ch8035_grid_power,1169.59997558594,2026-04-08T11:10:05.518Z
sensor.ral1ch8035_grid_power,1165.90002441406,2026-04-08T11:10:15.520Z
sensor.ral1ch8035_grid_power,1159.59997558594,2026-04-08T11:10:25.498Z
sensor.ral1ch8035_grid_power,1159.30004882812,2026-04-08T11:10:35.576Z
sensor.ral1ch8035_grid_power,1162.20007324219,2026-04-08T11:10:45.542Z
sensor.ral1ch8035_grid_power,1161.59997558594,2026-04-08T11:10:55.530Z
sensor.ral1ch8035_grid_power,1088.59997558594,2026-04-08T11:11:05.530Z
sensor.ral1ch8035_grid_power,1085.0,2026-04-08T11:11:15.544Z
sensor.ral1ch8035_grid_power,1088.30004882812,2026-04-08T11:11:25.527Z
sensor.ral1ch8035_grid_power,1087.20007324219,2026-04-08T11:11:35.540Z
sensor.ral1ch8035_grid_power,1087.09997558594,2026-04-08T11:11:45.822Z
sensor.ral1ch8035_grid_power,1086.59997558594,2026-04-08T11:12:05.523Z
sensor.ral1ch8035_grid_power,1087.5,2026-04-08T11:12:25.524Z
sensor.ral1ch8035_grid_power,1086.20007324219,2026-04-08T11:12:35.545Z
sensor.ral1ch8035_grid_power,1086.5,2026-04-08T11:12:45.512Z
sensor.ral1ch8035_grid_power,1086.59997558594,2026-04-08T11:12:55.557Z
sensor.ral1ch8035_grid_power,1076.40002441406,2026-04-08T11:13:15.523Z
sensor.ral1ch8035_grid_power,1076.80004882812,2026-04-08T11:13:25.527Z
sensor.ral1ch8035_grid_power,1147.0,2026-04-08T11:13:35.548Z
